inventory_id,event_name,venue_name,event_date,event_id,quantity,section,row,seats,internal_notes,public_notes,tags,list_price,face_price,taxed_cost,cost,hide_seats,in_hand,in_hand_date,instant_transfer,files_available,split_type,stock_type,zone,shown_quantity
3420646547,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,8,205,LL,"2,3,4,5,6,7,8,9",-tnow -tmplus -stub,xfer,AWS,123.69500000000001,95.15,95.15,95.15,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420646548,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,2,401,A,"5,6",-tnow -tmplus -stub,xfer,AWS,118.95,91.5,91.5,91.5,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420646550,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,3,401,B,"1,2,3",-tnow -tmplus -stub,xfer,AWS,94.185,72.45,72.45,72.45,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420646552,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,3,401,C,"1,2,3",-tnow -tmplus -stub,xfer,AWS,94.185,72.45,72.45,72.45,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420646554,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,3,401,D,"1,2,3",-tnow -tmplus -stub,xfer,AWS,94.185,72.45,72.45,72.45,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420646556,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,3,401,E,"1,2,3",-tnow -tmplus -stub,xfer,AWS,94.185,72.45,72.45,72.45,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420646558,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,3,401,F,"1,2,3",-tnow -tmplus -stub,xfer,AWS,94.185,72.45,72.45,72.45,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420646560,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,3,401,G,"1,2,3",-tnow -tmplus -stub,xfer,AWS,94.185,72.45,72.45,72.45,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420646562,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,3,401,H,"1,2,3",-tnow -tmplus -stub,xfer,AWS,94.185,72.45,72.45,72.45,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
3420646564,Theresa Caputo Live: The Experience,"Harrah's Cherokee Resort Event Center, Cherokee, NC",2025-08-16T20:00:00,5768334,3,401,I,"1,2,3",-tnow -tmplus -stub,xfer,AWS,94.185,72.45,72.45,72.45,Y,N,2025-08-15,N,N,NEVERLEAVEONE,MOBILE_TRANSFER,N,N
