inventory_id,event_name,venue_name,event_date,event_id,quantity,section,row,seats,barcodes,internal_notes,public_notes,tags,list_price,face_price,taxed_cost,cost,hide_seats,in_hand,in_hand_date,instant_transfer,files_available,split_type,custom_split,stock_type,zone,shown_quantity,passthrough,mapping_id
01006228B1D43104-110R-DD-11,Nate Bargatze: Big Dumb Eyes World Tour,"Scope Arena, Norfolk, VA",2025-06-08T11:00:00.000Z,01006228B1D43104,3,110R,DD,"11,12,13",903836190459299511742273|674934032848241877182182|748548886977917350460128,These are internal notes. @sec[110R],These are DD Row,john drew don,145.69,95.75,116.55,116.55,Y,N,2025-05-07,N,Y,CUSTOM,"2,3",MOBILE_TRANSFER,N,2,128shd8923kjej47,
01006228B1D43104-111-K-5,Nate Bargatze: Big Dumb Eyes World Tour,"Scope Arena, Norfolk, VA",2025-06-08T11:00:00.000Z,01006228B1D43104,7,111,K,"5,6,7,8,9,10,11",941899495359459475091816|128324942826668533562851|222135627237311411602539|917018606161895946413347|233771348498836475853182|279509408265972224142878|363585219947226569488616,These are internal notes. @sec[111],These are K Row,john drew don,144.61,95.75,115.69,115.69,Y,N,2025-05-07,N,Y,CUSTOM,"4,7",MOBILE_TRANSFER,N,4,128shd8923kjej47,
01006228B1D43104-111-L-4,Nate Bargatze: Big Dumb Eyes World Tour,"Scope Arena, Norfolk, VA",2025-06-08T11:00:00.000Z,01006228B1D43104,8,111,L,"4,5,6,7,8,9,10,11",953135082067263111180327|405296661240895859808569|526887061286418349031675|36154972731358659294216|909966794024659296764012|848852109852895134160612|540690983651888703888658|32726803151160454219224,These are internal notes. @sec[111],These are L Row,john drew don,144.51,95.75,115.61,115.61,Y,N,2025-05-07,N,Y,CUSTOM,"4,8",MOBILE_TRANSFER,N,4,128shd8923kjej47,
01006228B1D43104-112-F-7,Nate Bargatze: Big Dumb Eyes World Tour,"Scope Arena, Norfolk, VA",2025-06-08T11:00:00.000Z,01006228B1D43104,2,112,F,"7,8",53911624417616130626832|30351564454398146356966,These are internal notes. @sec[112],These are F Row,john drew don,146.63,95.75,117.3,117.3,Y,N,2025-05-07,N,Y,CUSTOM,"1,2",MOBILE_TRANSFER,N,1,128shd8923kjej47,
01006228B1D43104-112-G-4,Nate Bargatze: Big Dumb Eyes World Tour,"Scope Arena, Norfolk, VA",2025-06-08T11:00:00.000Z,01006228B1D43104,6,112,G,"4,5,6,7,8,9",34673536397260950315779|482718488569148346343054|643384573452822495380302|416469706524905547425040|82287995512189711205828|780065538327769726524263,These are internal notes. @sec[112],These are G Row,john drew don,144.75,95.75,115.8,115.8,Y,N,2025-05-07,N,Y,CUSTOM,"3,6",MOBILE_TRANSFER,N,3,128shd8923kjej47,
01006228B1D43104-112-H-4,Nate Bargatze: Big Dumb Eyes World Tour,"Scope Arena, Norfolk, VA",2025-06-08T11:00:00.000Z,01006228B1D43104,7,112,H,"4,5,6,7,8,9,10",359460874800863037857214|644349234182422691831455|297605338008456969777532|986304136302713415294026|363913308809123584980218|92259558227196934904978|955503225508151367639444,These are internal notes. @sec[112],These are H Row,john drew don,144.61,95.75,115.69,115.69,Y,N,2025-05-07,N,Y,CUSTOM,"4,7",MOBILE_TRANSFER,N,4,128shd8923kjej47,
01006228B1D43104-112-J-6,Nate Bargatze: Big Dumb Eyes World Tour,"Scope Arena, Norfolk, VA",2025-06-08T11:00:00.000Z,01006228B1D43104,9,112,J,"6,7,8,9,10,11,12,13,14",569029601262378870468394|711073431824663862764383|454016497242602493081220|738610425533252621222059|634379669952254908637865|573164992786190415488214|322981231226921657268831|926737392004948981354474|475836562979104905673294,These are internal notes. @sec[112],These are J Row,john drew don,144.44,95.75,115.55,115.55,Y,N,2025-05-07,N,Y,CUSTOM,"5,9",MOBILE_TRANSFER,N,5,128shd8923kjej47,
01006228B1D43104-112-K-5,Nate Bargatze: Big Dumb Eyes World Tour,"Scope Arena, Norfolk, VA",2025-06-08T11:00:00.000Z,01006228B1D43104,10,112,K,"5,6,7,8,9,10,11,12,13,14",331390764501368036992954|439159808006981065849534|645012042638106532129221|587504882476104990672210|596343884331894167232620|223934444166119957180253|774363980561724058912053|653181653618834533071056|954502049278330412800154|261523709742697261171461,These are internal notes. @sec[112],These are K Row,john drew don,144.38,95.75,115.5,115.5,Y,N,2025-05-07,N,Y,CUSTOM,"5,10",MOBILE_TRANSFER,N,5,128shd8923kjej47,
01006228B1D43104-112-L-4,Nate Bargatze: Big Dumb Eyes World Tour,"Scope Arena, Norfolk, VA",2025-06-08T11:00:00.000Z,01006228B1D43104,9,112,L,"4,5,6,7,8,9,10,11,12",532022770840228054881177|159982872500528335521851|83986895936941561169030|289990018876675204387060|30189499893756768395592|523033650541556176279787|609348125977316120060834|287577928301635655609792|520022205085589368068370,These are internal notes. @sec[112],These are L Row,john drew don,144.44,95.75,115.55,115.55,Y,N,2025-05-07,N,Y,CUSTOM,"5,9",MOBILE_TRANSFER,N,5,128shd8923kjej47,
01006228B1D43104-112-L-1,Nate Bargatze: Big Dumb Eyes World Tour,"Scope Arena, Norfolk, VA",2025-06-08T11:00:00.000Z,01006228B1D43104,3,112,L,"1,2,3",402999097907279905404163|841395851182425900577461|449138019511332944785606,These are internal notes. @sec[112],These are L Row,john drew don,145.69,95.75,116.55,116.55,Y,N,2025-05-07,N,Y,CUSTOM,"2,3",MOBILE_TRANSFER,N,2,128shd8923kjej47,
